substrate,steps,rows,images,spearman_rho,ci_low,ci_high,bootstrap_p,valid_bootstraps,bh_q,ci_excludes_zero,multiplicity_resistant,conclusion_matches_original
channel_mean,10,900,100,0.017710615769447845,-0.07811470064474423,0.11279788894376641,0.737,2000,0.827,False,False,True
channel_mean,20,900,100,0.017417224439001577,-0.0797100402632595,0.11462065386818214,0.708,2000,0.827,False,False,True
channel_mean,50,900,100,0.013430470250574273,-0.0849596120998549,0.106849276693168,0.827,2000,0.827,False,False,True
gaussian_blur_k31,10,900,100,0.012195085917849093,-0.0867354053416342,0.11633971716047335,0.799,2000,0.827,False,False,True
gaussian_blur_k31,20,900,100,0.020181121060067943,-0.08137461066318591,0.11610616042054529,0.657,2000,0.827,False,False,True
gaussian_blur_k31,50,900,100,0.0190178438175899,-0.08028866363750668,0.11680003168626885,0.731,2000,0.827,False,False,True
zero_black,10,900,100,-0.030318418276777906,-0.13390907954368822,0.06729622644774153,0.586,2000,0.827,False,False,True
zero_black,20,900,100,-0.02531132530453277,-0.12538764714312636,0.07922567715577862,0.645,2000,0.827,False,False,True
zero_black,50,900,100,-0.026015334456281375,-0.13444310860694125,0.07838569577356795,0.631,2000,0.827,False,False,True
